Sample,Time(S),CH1(V),CH2(V)
692,-7.5,0.113025,-0.0732059
693,-7.499,0.113025,-0.0732059
694,-7.498,0.113025,-0.0732059
695,-7.497,0.113025,-0.0732059
696,-7.496,0.113025,-0.0732059
697,-7.495,0.113025,-0.0732059
698,-7.494,0.113025,-0.0732059
699,-7.493,0.113025,-0.0732059
700,-7.492,0.113025,-0.0732059
701,-7.491,0.113025,-0.0732059
702,-7.49,0.113025,-0.0732059
703,-7.489,0.113025,-0.0732059
704,-7.488,0.113025,-0.0732059
705,-7.487,0.113025,-0.0732059
706,-7.486,0.113025,-0.0732059
707,-7.485,0.113025,-0.0732059
708,-7.484,0.113025,-0.0732059
709,-7.483,0.113025,-0.0732059
710,-7.482,0.113025,-0.0732059
711,-7.481,0.113025,-0.0732059
712,-7.48,0.113025,-0.0732059
713,-7.479,0.113025,-0.0732059
714,-7.478,0.113025,-0.0732059
715,-7.477,0.113025,-0.0732059
716,-7.476,0.113025,-0.0732059
717,-7.475,0.113025,-0.0732059
718,-7.474,0.113025,-0.0732059
719,-7.473,0.113025,-0.0732059
720,-7.472,0.113025,-0.0732059
721,-7.471,0.113025,-0.0732059
722,-7.47,0.113025,-0.0732059
723,-7.469,0.113025,-0.0732059
724,-7.468,0.113025,-0.0732059
725,-7.467,0.113025,-0.0732059
726,-7.466,0.113025,-0.0732059
727,-7.465,0.113025,-0.0732059
728,-7.464,0.113025,-0.0732059
